X	Y	T	realZxx	imagZxx	realZxy	imagZxy	realZyx	imagZyx	realZyy	imagZyy	Rho	KR	Rho_real
58000	-142000	0.2	4.97E-07	-7.34E-07	0.0232584	-0.0114749	-0.0232513	0.0114794	-4.72E-07	5.77E-07	17.035	1.008584962	16.89
78000	-142000	0.2	4.54E-07	-3.78E-07	0.0232581	-0.0114757	-0.0232515	0.0114789	-3.64E-07	2.12E-07	17.035	1.00857899	16.8901
98000	-142000	0.2	-1.37E-07	1.07E-08	0.0232581	-0.0114757	-0.0232515	0.0114789	-9.21E-09	4.20E-08	17.035	1.00857899	16.8901
118000	-142000	0.2	-3.96E-07	-1.50E-06	0.0121808	-0.00611942	-0.023267	0.0114592	4.22E-05	-1.24E-05	8.95538	0.53021788	16.89
138000	-142000	0.2	-4.83E-07	1.13E-06	0.0232603	-0.0114845	-0.0232511	0.01148	4.35E-07	-1.15E-06	17.0389	1.00882184	16.8899
-142000	-122000	0.2	6.52E-05	-5.52E-06	0.0348165	-0.0174994	-0.0347203	0.0173462	6.12E-05	2.58E-05	38.3094	2.267512681	16.8949
-122000	-122000	0.2	-3.85E-07	3.81E-07	0.0232506	-0.0114703	-0.0232506	0.0114813	1.62E-07	-1.10E-06	17.0292	1.008092349	16.8925
-102000	-122000	0.2	-3.43E-05	-1.95E-05	0.0462134	-0.0229393	-0.0347996	0.0175042	9.05E-05	0.000134397	50.9081	3.012955422	16.8964
-82000	-122000	0.2	-4.71E-07	-7.27E-06	0.0342465	-0.0171739	-0.0449328	0.0224768	-1.16E-06	5.81E-06	48.7559	2.885579177	16.8964
-62000	-122000	0.2	9.72E-07	-9.83E-07	0.0232551	-0.0114703	-0.0232223	0.0114725	-4.62E-07	1.81E-06	17.0126	1.007109664	16.8925
-42000	-122000	0.2	1.48E-06	-2.29E-06	0.0232575	-0.0114663	-0.0232609	0.011468	-5.03E-07	2.42E-06	17.0343	1.008358442	16.8931
-22000	-122000	0.2	1.87E-06	-2.53E-06	0.0232512	-0.0114651	-0.023278	0.0114633	-1.35E-06	4.55E-06	17.0389	1.00921023	16.8834
-2000	-122000	0.2	5.41E-07	-8.20E-07	0.0232827	-0.0114678	-0.0232832	0.0114664	-3.28E-07	1.34E-06	17.0622	1.010943564	16.8775
18000	-122000	0.2	-2.11E-06	-2.18E-06	0.0311945	-0.0154194	-0.0234285	0.0116994	1.33E-06	2.85E-06	23.0822	1.367242615	16.8823
38000	-122000	0.2	-2.07E-06	-3.03E-06	0.0232525	-0.0114766	-0.023261	0.0114677	4.40E-07	3.58E-06	17.0343	1.008352473	16.8932
58000	-122000	0.2	-8.30E-07	-6.04E-06	0.037595	-0.0186833	-0.0234944	0.0118215	-9.16E-07	2.66E-06	27.9685	1.655969685	16.8895
78000	-122000	0.2	4.06E-07	-1.41E-06	0.023262	-0.0114886	-0.0232636	0.0114754	-9.83E-07	5.10E-07	17.0471	1.009205759	16.8916
98000	-122000	0.2	-2.15E-07	-1.41E-07	0.023262	-0.0114886	-0.0232639	0.0114746	2.71E-07	3.81E-07	17.0471	1.009205759	16.8916
118000	-122000	0.2	-5.37E-08	3.29E-06	0.0232519	-0.0114867	-0.0232635	0.0114757	9.47E-07	-2.07E-06	17.0406	1.008940413	16.8896
138000	-122000	0.2	1.28E-06	3.74E-06	0.0234889	-0.0118242	-0.0376069	0.0186674	1.08E-06	-5.95E-06	27.9669	1.655502477	16.8933
-142000	-102000	0.2	3.67E-06	4.22E-06	0.023261	-0.0114822	-0.0232348	0.0114825	-1.19E-05	6.85E-06	17.0298	1.007913069	16.8961
-122000	-102000	0.2	1.59E-06	1.96E-06	0.0232766	-0.0114874	-0.0232312	0.0114776	-3.41E-06	-3.04E-06	17.0369	1.008751206	16.8891
-102000	-102000	0.2	-3.09E-05	2.61E-06	0.0232771	-0.0114726	-0.0232329	0.0114685	2.99E-05	-4.26E-06	17.0312	1.008443565	16.8886
-82000	-102000	0.2	2.27E-07	-4.27E-07	0.0232739	-0.0114774	-0.023229	0.0114752	1.71E-07	1.25E-06	17.0305	1.008402117	16.8886
-62000	-102000	0.2	4.57E-06	-2.71E-06	0.0428796	-0.0213652	-0.0331121	0.0166353	4.63E-06	2.77E-06	44.9679	2.66318626	16.885
-42000	-102000	0.2	1.23E-06	-3.93E-07	0.023298	-0.0114781	-0.0232603	0.0114697	6.74E-06	-1.07E-05	17.0617	1.01028541	16.888
-22000	-102000	0.2	5.97E-06	-1.74E-05	0.02333	-0.0114663	-0.0233301	0.0114602	-6.58E-06	1.26E-05	17.1156	1.013687109	16.8845
-2000	-102000	0.2	-4.65E-06	-4.83E-06	0.0233529	-0.0114823	-0.0233624	0.0114712	3.91E-06	6.56E-06	17.1561	1.015364129	16.8965
18000	-102000	0.2	-1.75E-05	4.08E-06	0.0233039	-0.0114607	-0.0233083	0.0114573	1.64E-05	-1.57E-06	17.0848	1.012240642	16.8782
38000	-102000	0.2	-2.33E-05	4.94E-06	0.0232487	-0.0114298	-0.0232648	0.0115073	9.29E-06	9.56E-06	17.0322	1.009064411	16.8792
58000	-102000	0.2	-1.54E-05	-1.46E-05	0.0232312	-0.0114545	-0.0232408	0.0115161	4.09E-06	1.25E-05	17.0175	1.007208935	16.8957
78000	-102000	0.2	2.86E-05	-7.67E-06	0.012722	-0.00638234	-0.0127496	0.00640506	-2.64E-05	1.20E-05	5.14404	0.304435107	16.897
98000	-102000	0.2	3.15E-06	4.98E-06	0.0232322	-0.0114771	-0.023297	0.0115311	-7.12E-07	-4.61E-06	17.0621	1.010004085	16.8931
118000	-102000	0.2	-5.77E-05	1.56E-05	0.0375395	-0.0186702	-0.0376171	0.0187815	6.54E-05	-1.97E-05	44.6516	2.643342154	16.8921
138000	-102000	0.2	2.20E-05	3.72E-06	0.0232261	-0.0114555	-0.023268	0.0115279	-6.39E-06	-1.05E-05	17.0342	1.008639117	16.8883
-142000	-82000	0.2	1.56E-07	-7.06E-05	0.0104375	-0.00818287	-0.0211058	0.014493	3.23E-05	0.00015573	8.60138	0.549489568	15.6534
-122000	-82000	0.2	6.38E-06	6.36E-07	0.0190263	-0.0148704	-0.0210999	0.0145043	-8.91E-06	5.73E-06	15.6616	0.998673672	15.6824
-102000	-82000	0.2	1.40E-06	-2.03E-06	0.0104146	-0.00824465	-0.021118	0.0144992	3.09E-05	-1.37E-05	8.61894	0.549856139	15.6749
-82000	-82000	0.2	-0.000142795	4.71E-05	0.0348497	-0.0276119	-0.0387327	0.0270035	0.000125327	-5.34E-05	53.1773	3.392512871	15.6749
-62000	-82000	0.2	-6.58E-06	-9.36E-07	0.0190657	-0.0148723	-0.0211054	0.0145063	1.17E-05	-4.46E-06	15.6859	1.000625155	15.6761
-42000	-82000	0.2	-2.88E-05	7.07E-05	0.0191025	-0.0148186	-0.0211338	0.0144986	-9.42E-07	-0.000164975	15.695	1.00324721	15.6442
-22000	-82000	0.2	-1.73E-05	2.80E-05	0.0233639	-0.0114778	-0.0233921	0.011496	4.58E-06	9.52E-06	17.1861	1.016898908	16.9005
-2000	-82000	0.2	-5.00E-06	-1.09E-05	0.0234132	-0.0114738	-0.0234012	0.0114662	2.50E-06	1.48E-05	17.2109	1.018589319	16.8968
18000	-82000	0.2	-5.11E-05	-2.64E-05	0.0349607	-0.0175953	-0.0462578	0.022923	-1.79E-05	-0.000122889	51.1817	3.032199012	16.8794
38000	-82000	0.2	-4.36E-05	0.000108007	0.0282977	-0.0100975	-0.0155103	0.00568873	-2.41E-05	-3.98E-05	12.5733	0.56268964	22.345
58000	-82000	0.2	-0.000122361	6.09E-05	0.0281281	-0.0100475	-0.0284308	0.0100359	4.70E-05	5.92E-06	22.8109	1.019231027	22.3805
78000	-82000	0.2	-4.44E-05	1.45E-05	0.0280957	-0.0100726	-0.028445	0.0101106	9.37E-06	1.32E-05	22.8233	1.017017655	22.4414
