X	Y	T	realZxx	imagZxx	realZxy	imagZxy	realZyx	imagZyx	realZyy	imagZyy	Rho	KR	Rho_real
2000	4500	0.1	-2.90E-05	1.43E-05	0.0199599	-0.0201045	-0.0198427	0.0201577	1.19E-06	-4.50E-05	10.1489	1.000315405	10.1457
3000	4500	0.1	0.000113109	8.98E-05	0.01946	-0.0201374	-0.0196261	0.0201557	-5.94E-05	-5.34E-05	9.97793	1.000059134	9.97734
4000	4500	0.1	7.10E-05	0.000109818	0.0190305	-0.0200658	-0.0190807	0.0198993	-2.79E-06	-4.39E-05	9.65623	0.997051046	9.68479
5000	4500	0.1	2.48E-05	6.12E-05	0.0190605	-0.0200648	-0.0190412	0.0199532	-1.06E-05	-2.24E-05	9.66724	1.002111566	9.64687
6000	4500	0.1	5.41E-06	2.18E-05	0.0158466	-0.0158494	-0.0125929	0.0130836	-2.92E-07	-8.72E-06	5.15465	0.534315103	9.64721
7000	4500	0.1	6.90E-07	1.35E-05	0.0191224	-0.0185437	-0.0125552	0.0130736	4.93E-07	-5.29E-06	6.11503	0.633931496	9.6462
8000	4500	0.1	6.57E-06	8.83E-06	0.0158438	-0.0158391	-0.0125819	0.0130885	-6.04E-06	-2.26E-06	5.15139	0.533959469	9.64753
9000	4500	0.1	-1.80E-05	-1.79E-06	0.0190963	-0.0200858	-0.0157609	0.0169192	9.69E-06	1.46E-06	8.11639	0.841578142	9.64425
-9000	6000	0.1	3.39E-06	-6.38E-06	0.0188015	-0.0199761	-0.0190146	0.0200252	-2.33E-05	8.55E-06	9.59429	0.994834153	9.64411
-8000	6000	0.1	-3.22E-06	-1.51E-05	0.0188465	-0.0199805	-0.0190149	0.0200359	-2.28E-06	6.86E-06	9.60899	0.996099152	9.64662
-7000	6000	0.1	3.47E-07	-4.52E-05	0.0252774	-0.0281901	-0.0319657	0.0351619	-1.92E-05	1.31E-05	22.788	2.362354102	9.64631
-6000	6000	0.1	1.86E-05	-4.60E-05	0.0187734	-0.0213085	-0.0320507	0.0353545	-4.73E-05	4.05E-05	17.1636	1.779123934	9.64722
-5000	6000	0.1	-7.24E-05	-4.37E-05	0.0253734	-0.0283074	-0.025456	0.0282589	6.73E-05	3.00E-05	18.3119	1.897883525	9.64859
-4000	6000	0.1	-7.22E-05	-6.44E-05	0.0188924	-0.0199578	-0.0190265	0.020038	0.000106052	8.63E-05	9.61769	0.995926284	9.65703
-3000	6000	0.1	-1.32E-05	-3.04E-05	0.0192202	-0.0199371	-0.0190017	0.0200556	8.47E-05	9.94E-05	9.69009	1.000497663	9.68527
-2000	6000	0.1	3.92E-07	-7.28E-06	0.0194417	-0.0198797	-0.0190064	0.0200664	2.51E-05	5.99E-05	9.73353	1.005160292	9.68356
-1000	6000	0.1	2.88E-06	-6.97E-06	0.0140204	-0.0127902	-0.00869448	0.00903398	2.38E-06	9.39E-06	3.01366	0.311185778	9.68444
0	6000	0.1	2.37E-06	1.15E-06	0.0193312	-0.0165116	-0.00866958	0.00900826	-4.79E-07	-3.48E-06	4.0256	0.415778428	9.68208
1000	6000	0.1	8.07E-06	6.00E-06	0.0140205	-0.0127972	-0.00870088	0.00904065	-7.98E-06	-1.88E-05	3.01665	0.311457215	9.6856
2000	6000	0.1	0.000162627	-4.81E-05	0.0193168	-0.0199115	-0.018893	0.020049	-0.000203248	2.11E-06	9.6791	0.99918138	9.68703
3000	6000	0.1	-0.000453191	0.000415091	0.0321634	-0.0351171	-0.031889	0.0353147	0.000344112	-0.000467087	28.693	2.968105256	9.66711
4000	6000	0.1	0.000202326	-3.02E-05	0.0188871	-0.0200138	-0.0190558	0.0200757	-0.00019299	1.77E-05	9.64699	0.999543071	9.6514
5000	6000	0.1	1.93E-05	4.63E-05	0.018985	-0.0200405	-0.0190098	0.0200291	-1.22E-05	-3.50E-05	9.65456	1.000551339	9.64924
6000	6000	0.1	-5.84E-07	2.50E-05	0.0188394	-0.0199977	-0.0190119	0.0200144	-5.67E-07	-1.89E-05	9.60552	0.995448441	9.64944
7000	6000	0.1	-7.70E-05	-2.22E-05	0.0317854	-0.0350669	-0.0319069	0.0349341	2.62E-05	-1.22E-05	28.3601	2.93985448	9.64677
8000	6000	0.1	8.47E-06	2.43E-07	0.0188298	-0.0199838	-0.0190085	0.0200271	-5.56E-06	-1.33E-06	9.60208	0.995627446	9.64425
9000	6000	0.1	3.37E-06	-7.80E-06	0.0191063	-0.0200759	-0.0189073	0.0200027	-7.54E-07	-2.56E-06	9.66129	1.001781398	9.64411
-9000	7500	0.1	4.65E-05	4.50E-07	0.0190025	-0.0200341	-0.0189758	0.020035	-4.24E-05	4.66E-06	9.65048	1.000660507	9.64411
-8000	7500	0.1	-3.03E-05	-2.79E-05	0.0190591	-0.0201017	-0.0125475	0.0136645	5.54E-06	9.19E-06	6.50851	0.674858413	9.64426
-7000	7500	0.1	-3.47E-05	-1.35E-05	0.0189865	-0.0200445	-0.0189988	0.0200606	1.93E-05	1.70E-05	9.6613	1.000925161	9.65237
-6000	7500	0.1	-3.55E-05	-2.15E-05	0.0189888	-0.0200363	-0.0189649	0.0200105	2.78E-05	2.28E-05	9.63893	0.998821798	9.6503
-5000	7500	0.1	-5.94E-05	-1.74E-05	0.0190776	-0.020081	-0.0125433	0.0136502	3.97E-05	6.34E-06	6.50327	0.674027142	9.64838
-4000	7500	0.1	0.000185458	-0.000121409	0.0266438	-0.0268414	-0.0266689	0.0268816	-0.000194597	0.00014696	18.1371	1.880408074	9.6453
-3000	7500	0.1	3.85E-05	-1.93E-05	0.0267884	-0.0268888	-0.0189131	0.0199737	-9.34E-06	3.13E-05	13.2231	1.37085897	9.64585
-2000	7500	0.1	-5.26E-08	-6.14E-06	0.019037	-0.0199595	-0.0189568	0.0200612	1.07E-05	2.16E-05	9.642	0.999523148	9.6466
-1000	7500	0.1	-0.000115347	6.25E-05	0.0189991	-0.0199338	-0.0189795	0.0200269	0.000119074	-5.70E-05	9.62293	0.997714871	9.64497
0	7500	0.1	0.000123055	-5.79E-05	0.0189916	-0.0199404	-0.0189784	0.0200312	-0.00012404	5.42E-05	9.62358	0.997782264	9.64497
1000	7500	0.1	-2.13E-05	3.62E-06	0.0190091	-0.0199723	-0.0189838	0.0200494	1.64E-05	-1.01E-05	9.64198	0.999626772	9.64558
2000	7500	0.1	-2.31E-05	1.40E-05	0.019084	-0.0200481	-0.0125411	0.013701	-1.19E-07	-8.47E-06	6.5113	0.675149805	9.64423
3000	7500	0.1	2.43E-05	8.78E-06	0.019013	-0.0199984	-0.0189693	0.020044	-3.05E-05	-2.59E-05	9.64468	0.999753293	9.64706
4000	7500	0.1	-1.33E-05	2.44E-05	0.0189028	-0.0199624	-0.0246259	0.0248236	8.01E-05	-3.96E-05	12.175	1.261520767	9.65105
5000	7500	0.1	2.96E-05	2.56E-05	0.0189218	-0.0200026	-0.0190832	0.0200298	-1.61E-05	-2.37E-05	9.64758	0.999838328	9.64914
6000	7500	0.1	2.70E-05	1.23E-05	0.0189438	-0.0200133	-0.019097	0.0200757	-5.29E-05	-2.65E-05	9.67054	1.001961331	9.65161
7000	7500	0.1	0.00015406	-3.41E-05	0.0189816	-0.0200048	-0.0189608	0.020013	-0.000150136	4.24E-05	9.62869	0.998386603	9.64425
8000	7500	0.1	-0.000151608	5.23E-05	0.0189971	-0.0200132	-0.0188222	0.0199715	0.000131681	-6.56E-05	9.59066	0.994457757	9.64411
9000	7500	0.1	9.47E-06	6.62E-06	0.0189901	-0.0200314	-0.0189571	0.0200361	1.01E-05	1.79E-06	9.6426	0.999858979	9.64396
-9000	9000	0.1	-0.000612554	0.000310865	0.0319181	-0.0352256	-0.0320126	0.0351953	0.000543226	-0.00029709	28.6389	2.969620363	9.64396
-8000	9000	0.1	0.00014509	-7.37E-05	0.0188799	-0.0200343	-0.0188909	0.0200328	-0.000155441	9.25E-05	9.59992	0.995417929	9.64411
-7000	9000	0.1	1.68E-05	2.51E-06	0.0189897	-0.0200425	-0.0189772	0.0200341	-1.28E-05	2.19E-06	9.64964	1.000573407	9.64411
-6000	9000	0.1	-2.86E-06	-9.29E-06	0.0191549	-0.0200745	-0.0189719	0.0200233	-3.20E-06	8.35E-06	9.69351	1.004660809	9.64854
-5000	9000	0.1	3.25E-05	-1.50E-05	0.00341147	-0.003716	-0.0034117	0.00371855	-3.30E-05	1.54E-05	0.322406	0.033421135	9.64677
-4000	9000	0.1	-0.000178976	7.54E-05	0.0191004	-0.0200226	-0.0191062	0.0200315	0.000176637	-7.52E-05	9.70142	1.005865306	9.64485
-3000	9000	0.1	-1.27E-05	-1.18E-05	0.018986	-0.0200101	-0.0189883	0.0200421	1.61E-05	2.18E-05	9.64525	0.999685954	9.64828
-2000	9000	0.1	2.44E-06	-4.49E-06	0.0189904	-0.0200048	-0.0189793	0.020051	1.29E-06	1.15E-05	9.64502	0.999831029	9.64665
-1000	9000	0.1	1.48E-05	-4.05E-06	0.018983	-0.0200072	-0.0190067	0.020045	-1.43E-05	4.46E-06	9.64895	1.000191767	9.6471
0	9000	0.1	-9.10E-06	-2.33E-07	0.0157465	-0.0168919	-0.0190324	0.0200756	1.30E-05	-1.29E-06	8.09091	0.83868831	9.6471
1000	9000	0.1	-1.03E-07	6.77E-06	0.0189482	-0.0208106	-0.0254729	0.0274574	-2.11E-07	-8.59E-06	13.3505	1.383930423	9.6468
2000	9000	0.1	4.67E-06	8.23E-06	0.0157556	-0.0169102	-0.0190312	0.0200909	-1.68E-06	-1.36E-05	8.10078	0.83957043	9.64872
3000	9000	0.1	5.70E-05	6.62E-06	0.0190949	-0.0200326	-0.0189429	0.0200174	-2.58E-05	-2.34E-05	9.65994	1.001669459	9.64384
4000	9000	0.1	6.12E-05	-1.78E-05	0.00865472	-0.00897886	-0.0137494	0.0129043	-0.000329382	0.000116758	2.97814	0.308756004	9.64561
